Id,price,floor,floorTotal,metroDistance,area,rooms,distanceToCentre
1170,52600000,3,14,3,115.0,3,3.889278839702861
1171,154852000,11,14,7,230.0,3,3.73856621393997
1172,53000000,6,14,3,81.0,2,3.889278839702861
1173,63000000,4,14,7,100.0,3,3.73856621393997
1174,80000000,4,14,3,151.0,3,3.889278839702861
1175,76500000,6,14,3,148.0,3,3.889278839702861
1176,24503700,2,20,10,122.0,3,11.603936959406141
1177,18011610,12,22,10,80.0,2,11.71101096638104
1178,12157605,5,22,10,54.0,1,11.71101096638104
1179,15540125,8,20,10,71.0,2,11.603936959406141
1180,33398072,12,20,10,152.0,4,11.603936959406141
1181,36044340,14,20,10,165.0,4,11.603936959406141
1182,148657920,6,14,7,169.0,4,3.73856621393997
1183,25066080,2,20,10,124.0,3,11.603936959406141
1184,29000000,5,20,10,108.0,3,11.603936959406141
1185,41500000,7,18,10,128.0,4,4.5216626908554725
1186,40000000,9,18,10,130.0,4,4.5216626908554725
1187,27540000,9,18,10,81.0,2,4.5216626908554725
1188,24000000,12,18,10,76.0,2,4.5216626908554725
1189,41000000,12,18,10,135.0,3,4.5216626908554725
1190,32500000,10,15,8,123.0,3,4.5216626908554725
1191,25000000,10,18,10,83.0,2,4.5216626908554725
1192,160079804,4,10,13,198.8,5,2.843224459907559
1193,3100000,5,17,120,35.4,1,22.10454868779049
1194,2164500,10,17,200,40.7,1,25.611322321499777
1195,2000000,3,4,400,42.2,2,52.572000723228484
1196,3120000,4,15,160,23.1,1,20.117309478638756
1197,17787000,15,17,40,80.4,2,11.653105016258905
1198,11460000,4,17,40,55.0,1,11.653105016258905
1199,11350250,5,17,40,58.5,1,11.653105016258905
1200,11248400,3,20,40,63.1,1,11.653105016258905
1201,9400000,9,15,80,88.0,3,21.63874872366267
1202,27000000,8,22,40,75.0,3,8.563590373351266
1203,39000000,11,12,7,121.0,4,5.87067076672077
1204,33500000,9,22,10,130.0,3,11.71101096638104
1205,53888496,6,33,11,150.0,4,6.394480202929105
1206,35000000,10,53,11,98.0,3,6.394480202929105
1207,123881600,2,7,24,160.0,4,6.543832034140544
1208,86000000,3,17,5,310.0,5,14.120337207332652
1209,139366800,4,6,5,185.0,5,1.1014157928672192
1210,123881600,26,55,10,138.0,4,8.045389097356157
1212,21500000,32,48,80,86.0,2,12.039893110333715
1213,40000000,9,17,5,70.0,2,8.262009159055525
1214,170500000,7,11,10,173.0,4,3.683818685077363
1215,142463840,4,8,12,130.0,3,1.563677080622052
1216,173434240,4,8,6,270.0,3,1.7034441302904997
1217,105299360,2,6,5,65.0,2,1.5632296249743127
1218,49552640,9,14,5,80.0,3,1.0186272619607488
1219,154852000,8,12,5,215.0,4,1.405974780271043
1220,50000000,6,14,11,118.0,4,14.240457236475647
1221,186000000,4,5,5,173.0,4,1.5530083589636585
1222,36000000,19,48,80,134.0,3,12.039893110333715
1223,21500000,18,40,8,86.0,3,10.368784239978568
1224,174868170,3,7,5,171.0,4,4.309385219718236
1225,54800000,35,48,80,140.0,3,12.039893110333715
1227,72000000,3,4,5,204.0,5,1.523068268553751
1228,205643456,3,7,10,202.0,4,4.268773678623449
1229,66500000,17,48,80,205.0,5,12.039893110333715
1230,40000000,30,48,80,158.0,4,12.039893110333715
1231,14800000,5,9,5,35.0,1,2.1571036570014157
1232,61940800,8,9,5,150.0,4,2.578955274201864
1233,22500000,37,48,80,68.0,2,12.039893110333715
1234,157949040,4,10,5,200.0,4,2.5054692426045313
1235,526496800,8,8,10,390.0,4,2.019852134550705
1236,32500000,33,48,80,135.0,3,12.039893110333715
1237,123881600,35,55,10,210.0,4,8.045389097356157
1238,46500000,3,5,3,120.0,4,1.360369948699719
1239,134500000,4,12,5,146.0,3,1.405974780271043
1240,105918768,17,27,5,121.0,3,8.456412259389419
1241,22000000,5,40,5,99.0,3,10.449671400750256
1242,315898080,6,8,12,235.0,5,1.563677080622052
1243,69000000,2,17,5,149.0,3,8.262009159055525
1246,32500000,33,48,80,80.0,2,12.039893110333715
1247,11500000,5,10,7,51.0,2,6.344626088066924
1248,54000000,3,17,5,133.0,4,8.404705108419183
1249,22500000,23,40,5,101.0,3,10.449671400750256
1250,43000000,10,22,5,108.0,3,7.625779805505913
1251,51000000,10,14,10,135.0,3,3.957359720583072
1252,45000000,14,35,7,98.0,3,14.18020875630296
1254,31000000,9,23,15,90.0,2,13.982634042813368
1255,104000000,7,7,6,166.0,4,2.519797136585198
1256,47000000,7,7,4,150.0,4,2.7003215506315144
1257,55000000,7,22,10,135.0,4,7.667023540088899
1258,123881600,7,7,10,111.0,4,1.6380903222710717
1259,36000000,5,25,5,110.0,3,8.919861739693886
1260,297315840,2,6,5,223.0,5,1.822743564317096
1261,63179616,2,12,5,108.0,3,3.7679777933008047
1262,45000000,2,12,5,72.0,1,3.7679777933008047
1263,64000000,4,14,7,110.0,3,3.73856621393997
1264,196971744,1,7,15,289.0,5,4.323757767345695
1265,86407416,8,12,5,94.0,3,3.7890043647215585
